candidate,party,office,district,town,votes,precinct
Erick Russell,Democratic Party,Treasurer,,Meriden,24,John Barry School
Karen Dubois-Walton,Democratic Party,Treasurer,,Meriden,6,John Barry School
Dominic Rapini,Republican Party,Secretary of the State,,Meriden,14,John Barry School
Terrie E. Wood,Republican Party,Secretary of the State,,Meriden,7,John Barry School
Leora R. Levy,Republican Party,U.S. Senate,,Meriden,11,John Barry School
Peter Lumaj,Republican Party,U.S. Senate,,Meriden,6,John Barry School
Themis Klarides,Republican Party,U.S. Senate,,Meriden,4,John Barry School
Maritza Bond,Democratic Party,Secretary of the State,,Bridgeport,187,John F Kennedy Campus
Stephanie Thomas,Democratic Party,Secretary of the State,,Bridgeport,236,John F Kennedy Campus
Dennis Bradley,Democratic Party,State Senate,23,Bridgeport,273,John F Kennedy Campus
Herron Gaston,Democratic Party,State Senate,23,Bridgeport,220,John F Kennedy Campus
Dita Bhargava,Democratic Party,Treasurer,,Bridgeport,149,John F Kennedy Campus
Erick Russell,Democratic Party,Treasurer,,Bridgeport,232,John F Kennedy Campus
Karen Dubois-Walton,Democratic Party,Treasurer,,Bridgeport,31,John F Kennedy Campus
Dominic Rapini,Republican Party,Secretary of the State,,Bridgeport,9,John F Kennedy Campus
Terrie E. Wood,Republican Party,Secretary of the State,,Bridgeport,7,John F Kennedy Campus
Jayme Stevenson,Republican Party,U.S. House,4,Bridgeport,8,John F Kennedy Campus
Michael Ted Goldstein,Republican Party,U.S. House,4,Bridgeport,10,John F Kennedy Campus
Leora R. Levy,Republican Party,U.S. Senate,,Bridgeport,8,John F Kennedy Campus
Peter Lumaj,Republican Party,U.S. Senate,,Bridgeport,1,John F Kennedy Campus
Themis Klarides,Republican Party,U.S. Senate,,Bridgeport,7,John F Kennedy Campus
Maritza Bond,Democratic Party,Secretary of the State,,Enfield,11,John F Kennedy Middle School
Maritza Bond,Democratic Party,Secretary of the State,,Enfield,56,John F Kennedy Middle School
Stephanie Thomas,Democratic Party,Secretary of the State,,Enfield,31,John F Kennedy Middle School
Stephanie Thomas,Democratic Party,Secretary of the State,,Enfield,136,John F Kennedy Middle School
Dita Bhargava,Democratic Party,Treasurer,,Enfield,12,John F Kennedy Middle School
Dita Bhargava,Democratic Party,Treasurer,,Enfield,39,John F Kennedy Middle School
Erick Russell,Democratic Party,Treasurer,,Enfield,118,John F Kennedy Middle School
Erick Russell,Democratic Party,Treasurer,,Enfield,21,John F Kennedy Middle School
Karen Dubois-Walton,Democratic Party,Treasurer,,Enfield,34,John F Kennedy Middle School
Karen Dubois-Walton,Democratic Party,Treasurer,,Enfield,10,John F Kennedy Middle School
Dominic Rapini,Republican Party,Secretary of the State,,Enfield,27,John F Kennedy Middle School
Dominic Rapini,Republican Party,Secretary of the State,,Enfield,197,John F Kennedy Middle School
Terrie E. Wood,Republican Party,Secretary of the State,,Enfield,22,John F Kennedy Middle School
Terrie E. Wood,Republican Party,Secretary of the State,,Enfield,120,John F Kennedy Middle School
Leora R. Levy,Republican Party,U.S. Senate,,Enfield,30,John F Kennedy Middle School
Leora R. Levy,Republican Party,U.S. Senate,,Enfield,200,John F Kennedy Middle School
Peter Lumaj,Republican Party,U.S. Senate,,Enfield,6,John F Kennedy Middle School
Peter Lumaj,Republican Party,U.S. Senate,,Enfield,38,John F Kennedy Middle School
Themis Klarides,Republican Party,U.S. Senate,,Enfield,14,John F Kennedy Middle School
Themis Klarides,Republican Party,U.S. Senate,,Enfield,86,John F Kennedy Middle School
Maritza Bond,Democratic Party,Secretary of the State,,Milford,23,John F Kennedy School
Maritza Bond,Democratic Party,Secretary of the State,,Milford,12,John F Kennedy School
Maritza Bond,Democratic Party,Secretary of the State,,Windsor,42,John F Kennedy School
Stephanie Thomas,Democratic Party,Secretary of the State,,Milford,74,John F Kennedy School
Stephanie Thomas,Democratic Party,Secretary of the State,,Milford,76,John F Kennedy School
Stephanie Thomas,Democratic Party,Secretary of the State,,Windsor,166,John F Kennedy School
Dita Bhargava,Democratic Party,Treasurer,,Milford,18,John F Kennedy School
Dita Bhargava,Democratic Party,Treasurer,,Milford,16,John F Kennedy School
Dita Bhargava,Democratic Party,Treasurer,,Windsor,26,John F Kennedy School
Erick Russell,Democratic Party,Treasurer,,Milford,65,John F Kennedy School
Erick Russell,Democratic Party,Treasurer,,Milford,52,John F Kennedy School
Erick Russell,Democratic Party,Treasurer,,Windsor,135,John F Kennedy School
Karen Dubois-Walton,Democratic Party,Treasurer,,Milford,15,John F Kennedy School
Karen Dubois-Walton,Democratic Party,Treasurer,,Milford,17,John F Kennedy School
Karen Dubois-Walton,Democratic Party,Treasurer,,Windsor,48,John F Kennedy School
Dominic Rapini,Republican Party,Secretary of the State,,Milford,56,John F Kennedy School
Dominic Rapini,Republican Party,Secretary of the State,,Milford,56,John F Kennedy School
Dominic Rapini,Republican Party,Secretary of the State,,Windsor,36,John F Kennedy School
Terrie E. Wood,Republican Party,Secretary of the State,,Milford,30,John F Kennedy School
Terrie E. Wood,Republican Party,Secretary of the State,,Milford,31,John F Kennedy School
Terrie E. Wood,Republican Party,Secretary of the State,,Windsor,20,John F Kennedy School
Leora R. Levy,Republican Party,U.S. Senate,,Milford,38,John F Kennedy School
Leora R. Levy,Republican Party,U.S. Senate,,Milford,39,John F Kennedy School
Leora R. Levy,Republican Party,U.S. Senate,,Windsor,33,John F Kennedy School
Peter Lumaj,Republican Party,U.S. Senate,,Milford,14,John F Kennedy School
Peter Lumaj,Republican Party,U.S. Senate,,Milford,6,John F Kennedy School
Peter Lumaj,Republican Party,U.S. Senate,,Windsor,6,John F Kennedy School
Themis Klarides,Republican Party,U.S. Senate,,Milford,44,John F Kennedy School
Themis Klarides,Republican Party,U.S. Senate,,Milford,48,John F Kennedy School
Themis Klarides,Republican Party,U.S. Senate,,Windsor,19,John F Kennedy School
Maritza Bond,Democratic Party,Secretary of the State,,Norwich,29,John M. Moriarty School
Stephanie Thomas,Democratic Party,Secretary of the State,,Norwich,55,John M. Moriarty School
Dita Bhargava,Democratic Party,Treasurer,,Norwich,13,John M. Moriarty School
Erick Russell,Democratic Party,Treasurer,,Norwich,47,John M. Moriarty School
Karen Dubois-Walton,Democratic Party,Treasurer,,Norwich,24,John M. Moriarty School
Dominic Rapini,Republican Party,Secretary of the State,,Norwich,38,John M. Moriarty School
Terrie E. Wood,Republican Party,Secretary of the State,,Norwich,36,John M. Moriarty School
Leora R. Levy,Republican Party,U.S. Senate,,Norwich,44,John M. Moriarty School
Peter Lumaj,Republican Party,U.S. Senate,,Norwich,10,John M. Moriarty School
Themis Klarides,Republican Party,U.S. Senate,,Norwich,26,John M. Moriarty School
Maritza Bond,Democratic Party,Secretary of the State,,New Haven,23,John S Martinez School
Stephanie Thomas,Democratic Party,Secretary of the State,,New Haven,10,John S Martinez School
Dita Bhargava,Democratic Party,Treasurer,,New Haven,6,John S Martinez School
Erick Russell,Democratic Party,Treasurer,,New Haven,12,John S Martinez School
Karen Dubois-Walton,Democratic Party,Treasurer,,New Haven,15,John S Martinez School
Dominic Rapini,Republican Party,Secretary of the State,,New Haven,2,John S Martinez School
Terrie E. Wood,Republican Party,Secretary of the State,,New Haven,0,John S Martinez School
Leora R. Levy,Republican Party,U.S. Senate,,New Haven,2,John S Martinez School
Peter Lumaj,Republican Party,U.S. Senate,,New Haven,0,John S Martinez School
Themis Klarides,Republican Party,U.S. Senate,,New Haven,0,John S Martinez School
Maritza Bond,Democratic Party,Secretary of the State,,Bridgeport,180,John Winthrop School
Stephanie Thomas,Democratic Party,Secretary of the State,,Bridgeport,325,John Winthrop School
Jack Hennessy,Democratic Party,State House,127,Bridgeport,283,John Winthrop School
Marcus Brown,Democratic Party,State House,127,Bridgeport,249,John Winthrop School
Dita Bhargava,Democratic Party,Treasurer,,Bridgeport,156,John Winthrop School
Erick Russell,Democratic Party,Treasurer,,Bridgeport,285,John Winthrop School
Karen Dubois-Walton,Democratic Party,Treasurer,,Bridgeport,67,John Winthrop School
Dominic Rapini,Republican Party,Secretary of the State,,Bridgeport,51,John Winthrop School
Terrie E. Wood,Republican Party,Secretary of the State,,Bridgeport,24,John Winthrop School
Jayme Stevenson,Republican Party,U.S. House,4,Bridgeport,41,John Winthrop School
Michael Ted Goldstein,Republican Party,U.S. House,4,Bridgeport,34,John Winthrop School
Leora R. Levy,Republican Party,U.S. Senate,,Bridgeport,28,John Winthrop School
Peter Lumaj,Republican Party,U.S. Senate,,Bridgeport,9,John Winthrop School
Themis Klarides,Republican Party,U.S. Senate,,Bridgeport,39,John Winthrop School
Maritza Bond,Democratic Party,Secretary of the State,,Stratford,40,Johnson House 121 23
Stephanie Thomas,Democratic Party,Secretary of the State,,Stratford,165,Johnson House 121 23
Dennis Bradley,Democratic Party,State Senate,23,Stratford,57,Johnson House 121 23
Herron Gaston,Democratic Party,State Senate,23,Stratford,138,Johnson House 121 23
Dita Bhargava,Democratic Party,Treasurer,,Stratford,24,Johnson House 121 23
Erick Russell,Democratic Party,Treasurer,,Stratford,142,Johnson House 121 23
Karen Dubois-Walton,Democratic Party,Treasurer,,Stratford,36,Johnson House 121 23
Maritza Bond,Democratic Party,Secretary of the State,,Stratford,2,Johnson House 3rd
Stephanie Thomas,Democratic Party,Secretary of the State,,Stratford,12,Johnson House 3rd
Dita Bhargava,Democratic Party,Treasurer,,Stratford,0,Johnson House 3rd
Erick Russell,Democratic Party,Treasurer,,Stratford,13,Johnson House 3rd
Karen Dubois-Walton,Democratic Party,Treasurer,,Stratford,1,Johnson House 3rd
Dominic Rapini,Republican Party,Secretary of the State,,Stratford,10,Johnson House 3rd
Terrie E. Wood,Republican Party,Secretary of the State,,Stratford,9,Johnson House 3rd
Leora R. Levy,Republican Party,U.S. Senate,,Stratford,15,Johnson House 3rd
Peter Lumaj,Republican Party,U.S. Senate,,Stratford,1,Johnson House 3rd
Themis Klarides,Republican Party,U.S. Senate,,Stratford,4,Johnson House 3rd
Maritza Bond,Democratic Party,Secretary of the State,,Milford,71,Joseph A Foran High School
Stephanie Thomas,Democratic Party,Secretary of the State,,Milford,202,Joseph A Foran High School
Dita Bhargava,Democratic Party,Treasurer,,Milford,51,Joseph A Foran High School
Erick Russell,Democratic Party,Treasurer,,Milford,159,Joseph A Foran High School
Karen Dubois-Walton,Democratic Party,Treasurer,,Milford,62,Joseph A Foran High School
Dominic Rapini,Republican Party,Secretary of the State,,Milford,139,Joseph A Foran High School
Terrie E. Wood,Republican Party,Secretary of the State,,Milford,87,Joseph A Foran High School
Leora R. Levy,Republican Party,U.S. Senate,,Milford,118,Joseph A Foran High School
Peter Lumaj,Republican Party,U.S. Senate,,Milford,17,Joseph A Foran High School
Themis Klarides,Republican Party,U.S. Senate,,Milford,108,Joseph A Foran High School
Maritza Bond,Democratic Party,Secretary of the State,,Watertown,22,Judson School
Stephanie Thomas,Democratic Party,Secretary of the State,,Watertown,75,Judson School
Dita Bhargava,Democratic Party,Treasurer,,Watertown,23,Judson School
Erick Russell,Democratic Party,Treasurer,,Watertown,50,Judson School
Karen Dubois-Walton,Democratic Party,Treasurer,,Watertown,25,Judson School
Dominic Rapini,Republican Party,Secretary of the State,,Watertown,190,Judson School
Terrie E. Wood,Republican Party,Secretary of the State,,Watertown,110,Judson School
Leora R. Levy,Republican Party,U.S. Senate,,Watertown,143,Judson School
Peter Lumaj,Republican Party,U.S. Senate,,Watertown,26,Judson School
Themis Klarides,Republican Party,U.S. Senate,,Watertown,143,Judson School
Maritza Bond,Democratic Party,Secretary of the State,,Greenwich,16,Julian Curtiss School
Stephanie Thomas,Democratic Party,Secretary of the State,,Greenwich,110,Julian Curtiss School
Dita Bhargava,Democratic Party,Treasurer,,Greenwich,39,Julian Curtiss School
Erick Russell,Democratic Party,Treasurer,,Greenwich,71,Julian Curtiss School
Karen Dubois-Walton,Democratic Party,Treasurer,,Greenwich,16,Julian Curtiss School
Dominic Rapini,Republican Party,Secretary of the State,,Greenwich,107,Julian Curtiss School
Terrie E. Wood,Republican Party,Secretary of the State,,Greenwich,69,Julian Curtiss School
Jayme Stevenson,Republican Party,U.S. House,4,Greenwich,117,Julian Curtiss School
Michael Ted Goldstein,Republican Party,U.S. House,4,Greenwich,62,Julian Curtiss School
Leora R. Levy,Republican Party,U.S. Senate,,Greenwich,107,Julian Curtiss School
Peter Lumaj,Republican Party,U.S. Senate,,Greenwich,10,Julian Curtiss School
Themis Klarides,Republican Party,U.S. Senate,,Greenwich,65,Julian Curtiss School
Maritza Bond,Democratic Party,Secretary of the State,,Greenwich,3,Julian Curtiss School 1a
Stephanie Thomas,Democratic Party,Secretary of the State,,Greenwich,53,Julian Curtiss School 1a
Dita Bhargava,Democratic Party,Treasurer,,Greenwich,25,Julian Curtiss School 1a
Erick Russell,Democratic Party,Treasurer,,Greenwich,26,Julian Curtiss School 1a
Karen Dubois-Walton,Democratic Party,Treasurer,,Greenwich,4,Julian Curtiss School 1a
Dominic Rapini,Republican Party,Secretary of the State,,Greenwich,46,Julian Curtiss School 1a
Terrie E. Wood,Republican Party,Secretary of the State,,Greenwich,29,Julian Curtiss School 1a
Jayme Stevenson,Republican Party,U.S. House,4,Greenwich,45,Julian Curtiss School 1a
Michael Ted Goldstein,Republican Party,U.S. House,4,Greenwich,34,Julian Curtiss School 1a
Leora R. Levy,Republican Party,U.S. Senate,,Greenwich,40,Julian Curtiss School 1a
Peter Lumaj,Republican Party,U.S. Senate,,Greenwich,5,Julian Curtiss School 1a
Themis Klarides,Republican Party,U.S. Senate,,Greenwich,34,Julian Curtiss School 1a
Maritza Bond,Democratic Party,Secretary of the State,,Ledyard,20,Juliet Long School
Maritza Bond,Democratic Party,Secretary of the State,,Ledyard,20,Juliet Long School
Stephanie Thomas,Democratic Party,Secretary of the State,,Ledyard,66,Juliet Long School
Stephanie Thomas,Democratic Party,Secretary of the State,,Ledyard,76,Juliet Long School
Dita Bhargava,Democratic Party,Treasurer,,Ledyard,15,Juliet Long School
Dita Bhargava,Democratic Party,Treasurer,,Ledyard,18,Juliet Long School
Erick Russell,Democratic Party,Treasurer,,Ledyard,51,Juliet Long School
Erick Russell,Democratic Party,Treasurer,,Ledyard,53,Juliet Long School
Karen Dubois-Walton,Democratic Party,Treasurer,,Ledyard,28,Juliet Long School
Karen Dubois-Walton,Democratic Party,Treasurer,,Ledyard,17,Juliet Long School
Dominic Rapini,Republican Party,Secretary of the State,,Ledyard,63,Juliet Long School
Dominic Rapini,Republican Party,Secretary of the State,,Ledyard,74,Juliet Long School
Terrie E. Wood,Republican Party,Secretary of the State,,Ledyard,50,Juliet Long School
Terrie E. Wood,Republican Party,Secretary of the State,,Ledyard,53,Juliet Long School
Leora R. Levy,Republican Party,U.S. Senate,,Ledyard,53,Juliet Long School
Leora R. Levy,Republican Party,U.S. Senate,,Ledyard,70,Juliet Long School
Peter Lumaj,Republican Party,U.S. Senate,,Ledyard,11,Juliet Long School
Peter Lumaj,Republican Party,U.S. Senate,,Ledyard,19,Juliet Long School
Themis Klarides,Republican Party,U.S. Senate,,Ledyard,47,Juliet Long School
Themis Klarides,Republican Party,U.S. Senate,,Ledyard,49,Juliet Long School
Maritza Bond,Democratic Party,Secretary of the State,,Stamford,23,K T Murphy School On George St
Stephanie Thomas,Democratic Party,Secretary of the State,,Stamford,92,K T Murphy School On George St
Dita Bhargava,Democratic Party,Treasurer,,Stamford,36,K T Murphy School On George St
Erick Russell,Democratic Party,Treasurer,,Stamford,61,K T Murphy School On George St
Karen Dubois-Walton,Democratic Party,Treasurer,,Stamford,19,K T Murphy School On George St
Dominic Rapini,Republican Party,Secretary of the State,,Stamford,18,K T Murphy School On George St
Terrie E. Wood,Republican Party,Secretary of the State,,Stamford,34,K T Murphy School On George St
Jayme Stevenson,Republican Party,U.S. House,4,Stamford,26,K T Murphy School On George St
Michael Ted Goldstein,Republican Party,U.S. House,4,Stamford,27,K T Murphy School On George St
Leora R. Levy,Republican Party,U.S. Senate,,Stamford,34,K T Murphy School On George St
Peter Lumaj,Republican Party,U.S. Senate,,Stamford,6,K T Murphy School On George St
Themis Klarides,Republican Party,U.S. Senate,,Stamford,15,K T Murphy School On George St
Maritza Bond,Democratic Party,Secretary of the State,,Hamden,109,Keefe Community Center
Stephanie Thomas,Democratic Party,Secretary of the State,,Hamden,205,Keefe Community Center
Dita Bhargava,Democratic Party,Treasurer,,Hamden,34,Keefe Community Center
Erick Russell,Democratic Party,Treasurer,,Hamden,145,Keefe Community Center
Karen Dubois-Walton,Democratic Party,Treasurer,,Hamden,145,Keefe Community Center
Dominic Rapini,Republican Party,Secretary of the State,,Hamden,14,Keefe Community Center
Terrie E. Wood,Republican Party,Secretary of the State,,Hamden,6,Keefe Community Center
Leora R. Levy,Republican Party,U.S. Senate,,Hamden,11,Keefe Community Center
Peter Lumaj,Republican Party,U.S. Senate,,Hamden,1,Keefe Community Center
Themis Klarides,Republican Party,U.S. Senate,,Hamden,9,Keefe Community Center
Maritza Bond,Democratic Party,Secretary of the State,,Manchester,80,Keeney School
Stephanie Thomas,Democratic Party,Secretary of the State,,Manchester,179,Keeney School
Dita Bhargava,Democratic Party,Treasurer,,Manchester,85,Keeney School
Erick Russell,Democratic Party,Treasurer,,Manchester,118,Keeney School
Karen Dubois-Walton,Democratic Party,Treasurer,,Manchester,54,Keeney School
Dominic Rapini,Republican Party,Secretary of the State,,Manchester,90,Keeney School
Terrie E. Wood,Republican Party,Secretary of the State,,Manchester,78,Keeney School
Leora R. Levy,Republican Party,U.S. Senate,,Manchester,87,Keeney School
Peter Lumaj,Republican Party,U.S. Senate,,Manchester,11,Keeney School
Themis Klarides,Republican Party,U.S. Senate,,Manchester,77,Keeney School
Maritza Bond,Democratic Party,Secretary of the State,,Southington,13,Kelley School
Stephanie Thomas,Democratic Party,Secretary of the State,,Southington,43,Kelley School
Dita Bhargava,Democratic Party,Treasurer,,Southington,17,Kelley School
Erick Russell,Democratic Party,Treasurer,,Southington,30,Kelley School
Karen Dubois-Walton,Democratic Party,Treasurer,,Southington,12,Kelley School
Dominic Rapini,Republican Party,Secretary of the State,,Southington,72,Kelley School
Terrie E. Wood,Republican Party,Secretary of the State,,Southington,49,Kelley School
Leora R. Levy,Republican Party,U.S. Senate,,Southington,80,Kelley School
Peter Lumaj,Republican Party,U.S. Senate,,Southington,17,Kelley School
Themis Klarides,Republican Party,U.S. Senate,,Southington,30,Kelley School
Maritza Bond,Democratic Party,Secretary of the State,,Norwalk,21,Kendall School
Stephanie Thomas,Democratic Party,Secretary of the State,,Norwalk,107,Kendall School
Dita Bhargava,Democratic Party,Treasurer,,Norwalk,22,Kendall School
Erick Russell,Democratic Party,Treasurer,,Norwalk,87,Kendall School
Karen Dubois-Walton,Democratic Party,Treasurer,,Norwalk,19,Kendall School
Dominic Rapini,Republican Party,Secretary of the State,,Norwalk,17,Kendall School
Terrie E. Wood,Republican Party,Secretary of the State,,Norwalk,25,Kendall School
Jayme Stevenson,Republican Party,U.S. House,4,Norwalk,27,Kendall School
Michael Ted Goldstein,Republican Party,U.S. House,4,Norwalk,18,Kendall School
Leora R. Levy,Republican Party,U.S. Senate,,Norwalk,29,Kendall School
Peter Lumaj,Republican Party,U.S. Senate,,Norwalk,2,Kendall School
Themis Klarides,Republican Party,U.S. Senate,,Norwalk,14,Kendall School
Maritza Bond,Democratic Party,Secretary of the State,,Hartford,23,Keney Park Pond House
Stephanie Thomas,Democratic Party,Secretary of the State,,Hartford,106,Keney Park Pond House
Dita Bhargava,Democratic Party,Treasurer,,Hartford,78,Keney Park Pond House
Erick Russell,Democratic Party,Treasurer,,Hartford,14,Keney Park Pond House
Karen Dubois-Walton,Democratic Party,Treasurer,,Hartford,9,Keney Park Pond House
Dominic Rapini,Republican Party,Secretary of the State,,Hartford,1,Keney Park Pond House
Terrie E. Wood,Republican Party,Secretary of the State,,Hartford,0,Keney Park Pond House
Leora R. Levy,Republican Party,U.S. Senate,,Hartford,0,Keney Park Pond House
Peter Lumaj,Republican Party,U.S. Senate,,Hartford,0,Keney Park Pond House
Themis Klarides,Republican Party,U.S. Senate,,Hartford,1,Keney Park Pond House
Maritza Bond,Democratic Party,Secretary of the State,,Waterbury,23,Kennedy High School
Stephanie Thomas,Democratic Party,Secretary of the State,,Waterbury,52,Kennedy High School
Dita Bhargava,Democratic Party,Treasurer,,Waterbury,14,Kennedy High School
Erick Russell,Democratic Party,Treasurer,,Waterbury,55,Kennedy High School
Karen Dubois-Walton,Democratic Party,Treasurer,,Waterbury,11,Kennedy High School
Dominic Rapini,Republican Party,Secretary of the State,,Waterbury,85,Kennedy High School
Terrie E. Wood,Republican Party,Secretary of the State,,Waterbury,27,Kennedy High School
Leora R. Levy,Republican Party,U.S. Senate,,Waterbury,62,Kennedy High School
Peter Lumaj,Republican Party,U.S. Senate,,Waterbury,10,Kennedy High School
Themis Klarides,Republican Party,U.S. Senate,,Waterbury,57,Kennedy High School
Maritza Bond,Democratic Party,Secretary of the State,,Southington,48,Kennedy School
Stephanie Thomas,Democratic Party,Secretary of the State,,Southington,106,Kennedy School
Dita Bhargava,Democratic Party,Treasurer,,Southington,39,Kennedy School
Erick Russell,Democratic Party,Treasurer,,Southington,86,Kennedy School
Karen Dubois-Walton,Democratic Party,Treasurer,,Southington,32,Kennedy School
Dominic Rapini,Republican Party,Secretary of the State,,Southington,144,Kennedy School
Terrie E. Wood,Republican Party,Secretary of the State,,Southington,86,Kennedy School
Leora R. Levy,Republican Party,U.S. Senate,,Southington,142,Kennedy School
Peter Lumaj,Republican Party,U.S. Senate,,Southington,17,Kennedy School
Themis Klarides,Republican Party,U.S. Senate,,Southington,83,Kennedy School
Maritza Bond,Democratic Party,Secretary of the State,,Hartford,47,Kennelly School - Gym
Stephanie Thomas,Democratic Party,Secretary of the State,,Hartford,64,Kennelly School - Gym
Dita Bhargava,Democratic Party,Treasurer,,Hartford,31,Kennelly School - Gym
Erick Russell,Democratic Party,Treasurer,,Hartford,56,Kennelly School - Gym
Karen Dubois-Walton,Democratic Party,Treasurer,,Hartford,20,Kennelly School - Gym
Dominic Rapini,Republican Party,Secretary of the State,,Hartford,6,Kennelly School - Gym
Terrie E. Wood,Republican Party,Secretary of the State,,Hartford,3,Kennelly School - Gym
Leora R. Levy,Republican Party,U.S. Senate,,Hartford,5,Kennelly School - Gym
Peter Lumaj,Republican Party,U.S. Senate,,Hartford,4,Kennelly School - Gym
Themis Klarides,Republican Party,U.S. Senate,,Hartford,1,Kennelly School - Gym
Maritza Bond,Democratic Party,Secretary of the State,,Killingly,6,Killingly High School
Maritza Bond,Democratic Party,Secretary of the State,,Killingly,13,Killingly High School
Maritza Bond,Democratic Party,Secretary of the State,,Killingly,5,Killingly High School
Stephanie Thomas,Democratic Party,Secretary of the State,,Killingly,30,Killingly High School
Stephanie Thomas,Democratic Party,Secretary of the State,,Killingly,24,Killingly High School
Stephanie Thomas,Democratic Party,Secretary of the State,,Killingly,22,Killingly High School
Dita Bhargava,Democratic Party,Treasurer,,Killingly,11,Killingly High School
Dita Bhargava,Democratic Party,Treasurer,,Killingly,14,Killingly High School
Dita Bhargava,Democratic Party,Treasurer,,Killingly,5,Killingly High School
Erick Russell,Democratic Party,Treasurer,,Killingly,24,Killingly High School
Erick Russell,Democratic Party,Treasurer,,Killingly,19,Killingly High School
Erick Russell,Democratic Party,Treasurer,,Killingly,14,Killingly High School
Karen Dubois-Walton,Democratic Party,Treasurer,,Killingly,9,Killingly High School
Karen Dubois-Walton,Democratic Party,Treasurer,,Killingly,5,Killingly High School
Karen Dubois-Walton,Democratic Party,Treasurer,,Killingly,2,Killingly High School
Dominic Rapini,Republican Party,Secretary of the State,,Killingly,34,Killingly High School
Dominic Rapini,Republican Party,Secretary of the State,,Killingly,27,Killingly High School
Dominic Rapini,Republican Party,Secretary of the State,,Killingly,9,Killingly High School
Terrie E. Wood,Republican Party,Secretary of the State,,Killingly,31,Killingly High School
Terrie E. Wood,Republican Party,Secretary of the State,,Killingly,23,Killingly High School
Terrie E. Wood,Republican Party,Secretary of the State,,Killingly,10,Killingly High School
Leora R. Levy,Republican Party,U.S. Senate,,Killingly,50,Killingly High School
Leora R. Levy,Republican Party,U.S. Senate,,Killingly,32,Killingly High School
Leora R. Levy,Republican Party,U.S. Senate,,Killingly,14,Killingly High School
Peter Lumaj,Republican Party,U.S. Senate,,Killingly,3,Killingly High School
Peter Lumaj,Republican Party,U.S. Senate,,Killingly,8,Killingly High School
Peter Lumaj,Republican Party,U.S. Senate,,Killingly,9,Killingly High School
Themis Klarides,Republican Party,U.S. Senate,,Killingly,15,Killingly High School
Themis Klarides,Republican Party,U.S. Senate,,Killingly,3,Killingly High School
Themis Klarides,Republican Party,U.S. Senate,,Killingly,10,Killingly High School
Maritza Bond,Democratic Party,Secretary of the State,,Killingworth,34,Killingworth Elementary School
Stephanie Thomas,Democratic Party,Secretary of the State,,Killingworth,213,Killingworth Elementary School
Dita Bhargava,Democratic Party,Treasurer,,Killingworth,55,Killingworth Elementary School
Erick Russell,Democratic Party,Treasurer,,Killingworth,155,Killingworth Elementary School
Karen Dubois-Walton,Democratic Party,Treasurer,,Killingworth,39,Killingworth Elementary School
Dominic Rapini,Republican Party,Secretary of the State,,Killingworth,199,Killingworth Elementary School
Terrie E. Wood,Republican Party,Secretary of the State,,Killingworth,131,Killingworth Elementary School
Leora R. Levy,Republican Party,U.S. Senate,,Killingworth,199,Killingworth Elementary School
Peter Lumaj,Republican Party,U.S. Senate,,Killingworth,20,Killingworth Elementary School
Themis Klarides,Republican Party,U.S. Senate,,Killingworth,138,Killingworth Elementary School
Maritza Bond,Democratic Party,Secretary of the State,,West Hartford,23,King Philip School
Maritza Bond,Democratic Party,Secretary of the State,,West Hartford,91,King Philip School
Stephanie Thomas,Democratic Party,Secretary of the State,,West Hartford,381,King Philip School
Stephanie Thomas,Democratic Party,Secretary of the State,,West Hartford,75,King Philip School
Dita Bhargava,Democratic Party,Treasurer,,West Hartford,21,King Philip School
Dita Bhargava,Democratic Party,Treasurer,,West Hartford,103,King Philip School
Erick Russell,Democratic Party,Treasurer,,West Hartford,62,King Philip School
Erick Russell,Democratic Party,Treasurer,,West Hartford,310,King Philip School
Karen Dubois-Walton,Democratic Party,Treasurer,,West Hartford,56,King Philip School
Karen Dubois-Walton,Democratic Party,Treasurer,,West Hartford,16,King Philip School
Dominic Rapini,Republican Party,Secretary of the State,,West Hartford,79,King Philip School
Dominic Rapini,Republican Party,Secretary of the State,,West Hartford,12,King Philip School
Terrie E. Wood,Republican Party,Secretary of the State,,West Hartford,10,King Philip School
Terrie E. Wood,Republican Party,Secretary of the State,,West Hartford,35,King Philip School
Leora R. Levy,Republican Party,U.S. Senate,,West Hartford,49,King Philip School
Leora R. Levy,Republican Party,U.S. Senate,,West Hartford,11,King Philip School
Peter Lumaj,Republican Party,U.S. Senate,,West Hartford,0,King Philip School
Peter Lumaj,Republican Party,U.S. Senate,,West Hartford,13,King Philip School
Themis Klarides,Republican Party,U.S. Senate,,West Hartford,11,King Philip School
Themis Klarides,Republican Party,U.S. Senate,,West Hartford,59,King Philip School
Maritza Bond,Democratic Party,Secretary of the State,,New Haven,31,King-Robinson School
Stephanie Thomas,Democratic Party,Secretary of the State,,New Haven,61,King-Robinson School
Dita Bhargava,Democratic Party,Treasurer,,New Haven,7,King-Robinson School
Erick Russell,Democratic Party,Treasurer,,New Haven,44,King-Robinson School
Karen Dubois-Walton,Democratic Party,Treasurer,,New Haven,42,King-Robinson School
Dominic Rapini,Republican Party,Secretary of the State,,New Haven,0,King-Robinson School
Terrie E. Wood,Republican Party,Secretary of the State,,New Haven,0,King-Robinson School
Leora R. Levy,Republican Party,U.S. Senate,,New Haven,0,King-Robinson School
Peter Lumaj,Republican Party,U.S. Senate,,New Haven,0,King-Robinson School
