county,precinct,office,district,party,,poll,abs,edr,unknown,
Fairfield,Danbury 7-110,Secretary of State,,DEM,Denise Merrill,65,0,0,2,
Fairfield,Danbury 7-110,Secretary of State,,WF,Denise Merrill,6,0,0,0,
Fairfield,Danbury 7-110,Secretary of State,,Green,Michael DeRosa,2,0,0,0,
Fairfield,Danbury 7-110,State Treasurer,,REP,Tim Herbst,40,0,0,0,
Fairfield,Danbury 7-110,State Treasurer,,IND,Tim Herbst,7,0,0,0,
Fairfield,Danbury 7-110,State Treasurer,,DEM,Denise Nappier,70,0,0,3,
Fairfield,Danbury 7-110,State Treasurer,,WF,Denise Nappier,2,0,0,0,
Fairfield,Danbury 7-110,Comptroller,,REP,Sharon McLaughlin,47,0,0,0,
Fairfield,Danbury 7-110,Comptroller,,IND,Sharon McLaughlin,6,0,0,0,
Fairfield,Danbury 7-110,Comptroller,,DEM,Kevin Lembo,63,0,0,2,
Fairfield,Danbury 7-110,Comptroller,,WF,Kevin Lembo,3,0,0,0,
Fairfield,Danbury 7-110,Comptroller,,Green,Rolf Maurer,2,0,0,0,
Fairfield,Danbury 7-110,Comptroller,,write-in,write-in,1,0,0,0,
Fairfield,Danbury 7-110,Attorney General,,REP,Kie Westby,40,0,0,0,
Fairfield,Danbury 7-110,Attorney General,,IND,Kie Westby,3,0,0,0,
Fairfield,Danbury 7-110,Attorney General,,DEM,George Jepsen,70,0,0,2,
Fairfield,Danbury 7-110,Attorney General,,WF,George Jepsen,5,0,0,0,
Fairfield,Danbury 7-110,Attorney General,,Green,Stephen Fournier,3,0,0,0,
Fairfield,Danbury 7-138,Governor,,REP,Thomas C. Foley,715,42,8,1,
Fairfield,Danbury 7-138,Governor,,IND,Thomas C. Foley,48,1,2,0,
Fairfield,Danbury 7-138,Governor,,DEM,Dannel P. Malloy,830,42,10,26,
Fairfield,Danbury 7-138,Governor,,WF,Dannel P. Malloy,36,2,1,1,
Fairfield,Danbury 7-138,Governor,,PC,Joe Visconti,12,5,0,0,
Fairfield,Danbury 7-138,Governor,,write-in,write-in,5,0,0,0,
Fairfield,Danbury 7-138,U.S. House,5,REP,Mark Greenberg,639,40,7,0,
Fairfield,Danbury 7-138,U.S. House,5,IND,Mark Greenberg,45,1,0,0,
Fairfield,Danbury 7-138,U.S. House,5,DEM,Elizabeth Esty,888,39,11,17,
Fairfield,Danbury 7-138,U.S. House,5,WF,Elizabeth Esty,50,1,2,1,
Fairfield,Danbury 7-138,U.S. House,5,write-in,John Pistone,6,4,0,0,
Fairfield,Danbury 7-138,U.S. House,5,write-in,write-in,2,0,0,0,
Fairfield,Danbury 7-138,State Senate,24,REP,Michael McLachlan,859,57,7,1,
Fairfield,Danbury 7-138,State Senate,24,WF,Theodore Feng,217,9,7,0,
Fairfield,Danbury 7-138,State Senate,24,IND,Michael McLachlan,142,2,2,0,
Fairfield,Danbury 7-138,State Senate,24,write-in,write-in,2,0,0,0,
Fairfield,Danbury 7-138,State Assembly,138,REP,Janice Geigler,826,49,7,0,
Fairfield,Danbury 7-138,State Assembly,138,DEM,Henry Hall,683,33,12,0,
Fairfield,Danbury 7-138,State Assembly,138,WF,Janice Geigler,107,4,2,0,
Fairfield,Danbury 7-138,Secretary of State,,REP,Peter Lumaj,658,39,7,0,
Fairfield,Danbury 7-138,Secretary of State,,IND,Peter Lumaj,60,1,2,0,
Fairfield,Danbury 7-138,Secretary of State,,DEM,Denise Merrill,769,34,9,12,
Fairfield,Danbury 7-138,Secretary of State,,WF,Denise Merrill,46,1,1,1,
Fairfield,Danbury 7-138,Secretary of State,,Green,Michael DeRosa,43,9,1,0,
Fairfield,Danbury 7-138,State Treasurer,,REP,Tim Herbst,681,45,6,0,
Fairfield,Danbury 7-138,State Treasurer,,IND,Tim Herbst,62,3,2,0,
Fairfield,Danbury 7-138,State Treasurer,,DEM,Denise Nappier,784,37,10,11,
Fairfield,Danbury 7-138,State Treasurer,,WF,Denise Nappier,55,1,1,1,
Fairfield,Danbury 7-138,Comptroller,,REP,Sharon McLaughlin,703,46,6,0,
Fairfield,Danbury 7-138,Comptroller,,IND,Sharon McLaughlin,67,3,1,0,
Fairfield,Danbury 7-138,Comptroller,,DEM,Kevin Lembo,717,31,9,11,
Fairfield,Danbury 7-138,Comptroller,,WF,Kevin Lembo,42,1,2,1,
Fairfield,Danbury 7-138,Comptroller,,Green,Rolf Maurer,23,3,1,0,
Fairfield,Danbury 7-138,Attorney General,,REP,Kie Westby,651,38,7,0,
Fairfield,Danbury 7-138,Attorney General,,IND,Kie Westby,50,2,2,0,
Fairfield,Danbury 7-138,Attorney General,,DEM,George Jepsen,796,37,9,12,
Fairfield,Danbury 7-138,Attorney General,,WF,George Jepsen,44,1,2,1,
Fairfield,Danbury 7-138,Attorney General,,Green,Stephen Fournier,28,5,0,0,
Fairfield,Danbury City CT,Governor,,REP,Thomas C. Foley,6842,278,56,45,7221
Fairfield,Danbury City CT,Governor,,IND,Thomas C. Foley,412,27,8,0,447
Fairfield,Danbury City CT,Governor,,DEM,Dannel P. Malloy,7265,301,105,230,7901
Fairfield,Danbury City CT,Governor,,WF,Dannel P. Malloy,351,7,6,2,366
Fairfield,Danbury City CT,Governor,,PC,Joe Visconti,129,21,2,0,152
Fairfield,Danbury City CT,Governor,,write-in,write-in,41,0,0,0,41
Fairfield,Danbury City CT,U.S. House,5,REP,Mark Greenberg,5893,252,46,14,6205
Fairfield,Danbury City CT,U.S. House,5,IND,Mark Greenberg,419,17,10,0,446
Fairfield,Danbury City CT,U.S. House,5,DEM,Elizabeth Esty,7910,260,97,152,8419
Fairfield,Danbury City CT,U.S. House,5,WF,Elizabeth Esty,525,8,12,2,547
Fairfield,Danbury City CT,U.S. House,5,write-in,John Pistone,102,11,1,0,114
Fairfield,Danbury City CT,U.S. House,5,write-in,write-in,5,0,0,0,5
Fairfield,Danbury City CT,State Senate,24,REP,Michael McLachlan,8027,382,62,40,8511
Fairfield,Danbury City CT,State Senate,24,WF,Theodore Feng,1676,75,37,0,1788
Fairfield,Danbury City CT,State Senate,24,IND,Michael McLachlan,1329,39,15,0,1383
Fairfield,Danbury City CT,State Senate,24,write-in,write-in,9,0,0,0,9
Fairfield,Danbury City CT,State Assembly,2,REP,Carter,849,44,6,2,901
Fairfield,Danbury City CT,State Assembly,2,DEM,Fay,944,47,14,0,1005
Fairfield,Danbury City CT,State Assembly,2,IND,Carter,73,2,0,0,75
Fairfield,Danbury City CT,State Assembly,107,REP,David Scribner,184,5,0,1,190
Fairfield,Danbury City CT,State Assembly,107,DEM,Dan Smolnik,88,4,1,1,94
Fairfield,Danbury City CT,State Assembly,107,WF,Dan Smolnik,4,0,0,0,4
Fairfield,Danbury City CT,State Assembly,107,IND,David Scribner,16,0,0,0,16
Fairfield,Danbury City CT,State Assembly,108,REP,Smith,322,0,3,0,325
Fairfield,Danbury City CT,State Assembly,109,REP,Josh Stanley,1600,59,15,6,1680
Fairfield,Danbury City CT,State Assembly,109,DEM,David Arconti,2532,108,30,52,2722
Fairfield,Danbury City CT,State Assembly,109,WF,David Arconti,197,4,3,1,205
Fairfield,Danbury City CT,State Assembly,109,IND,Josh Stanley,136,5,3,0,144
Fairfield,Danbury City CT,State Assembly,110,REP,Frank Goncalves,779,39,16,0,834
Fairfield,Danbury City CT,State Assembly,110,DEM,Bob Godfrey,1617,59,33,50,1759
Fairfield,Danbury City CT,State Assembly,110,WF,Bob Godfrey,139,4,3,0,146
Fairfield,Danbury City CT,State Assembly,138,REP,Janice Geigler,2887,143,12,1,3043
Fairfield,Danbury City CT,State Assembly,138,DEM,Henry Hall,1855,74,25,0,1954
Fairfield,Danbury City CT,State Assembly,138,WF,Janice Geigler,323,10,4,0,337
Fairfield,Danbury City CT,State Assembly,108,write-in,write-in,6,0,0,0,6
Fairfield,Danbury City CT,State Assembly,138,write-in,write-in,1,0,0,0,1
Fairfield,Danbury City CT,State Assembly,109,write-in,write-in,1,0,0,0,1
Fairfield,Danbury City CT,State Assembly,110,write-in,write-in,6,0,0,0,6
Fairfield,Danbury City CT,State Assembly,2,write-in,write-in,1,0,0,0,1
Fairfield,Danbury City CT,Secretary of State,,REP,Peter Lumaj,6254,263,52,9,6578
Fairfield,Danbury City CT,Secretary of State,,IND,Peter Lumaj,471,16,8,0,495
Fairfield,Danbury City CT,Secretary of State,,DEM,Denise Merrill,6865,283,94,75,7317
Fairfield,Danbury City CT,Secretary of State,,WF,Denise Merrill,493,12,7,1,513
Fairfield,Danbury City CT,Secretary of State,,Green,Michael DeRosa,322,22,10,0,354
Fairfield,Danbury City CT,Secretary of State,,write-in,write-in,1,0,0,0,1
Fairfield,Danbury City CT,State Treasurer,,REP,Tim Herbst,6370,278,52,11,6711
Fairfield,Danbury City CT,State Treasurer,,IND,Tim Herbst,528,21,9,0,558
Fairfield,Danbury City CT,State Treasurer,,DEM,Denise Nappier,7010,289,101,80,7480
Fairfield,Danbury City CT,State Treasurer,,WF,Denise Nappier,0,0,0,0,547
Fairfield,Danbury City CT,State Treasurer,,write-in,write-in,1,0,0,0,1
Fairfield,Danbury City CT,Comptroller,,REP,Sharon McLaughlin,6605,292,51,8,6956
Fairfield,Danbury City CT,Comptroller,,IND,Sharon McLaughlin,567,20,7,0,594
Fairfield,Danbury City CT,Comptroller,,DEM,Kevin Lembo,6433,260,84,76,6853
Fairfield,Danbury City CT,Comptroller,,WF,Kevin Lembo,414,11,9,1,435
Fairfield,Danbury City CT,Comptroller,,Green,Rolf Maurer,216,10,8,0,234
Fairfield,Danbury City CT,Comptroller,,write-in,write-in,5,0,0,0,5
Fairfield,Danbury City CT,Attorney General,,REP,Kie Westby,5985,256,52,4,6297
Fairfield,Danbury City CT,Attorney General,,IND,Kie Westby,440,17,7,0,464
Fairfield,Danbury City CT,Attorney General,,DEM,George Jepsen,7137,296,96,72,7601
Fairfield,Danbury City CT,Attorney General,,WF,George Jepsen,484,12,8,1,505
Fairfield,Danbury City CT,Attorney General,,Green,Stephen Fournier,270,18,7,0,295
Fairfield,Danbury City CT,Attorney General,,write-in,write-in,2,0,0,0,2
